ROI_ID,ROI_ID_original,subject_id,roi_group,roi_letter,roi_number,nuclei_count
2052_D_001,2052_D,2052,2052_D,D,1,165
2052_D_002,2052_D 002,2052,2052_D,D,2,121
2052_D_003,2052_D 003,2052,2052_D,D,3,117
2052_D_004,2052_D 004,2052,2052_D,D,4,179
2052_D_005,2052_D 005,2052,2052_D,D,5,380
2052_D_006,2052_D 006,2052,2052_D,D,6,500
2052_E_001,2052_E,2052,2052_E,E,1,33
2052_E_002,2052_E 002,2052,2052_E,E,2,186
2052_E_003,2052_E 003,2052,2052_E,E,3,768
2052_E_004,2052_E 004,2052,2052_E,E,4,201
2052_F_001,2052_F,2052,2052_F,F,1,203
2052_F_002,2052_F 002,2052,2052_F,F,2,361
2052_F_003,2052_F 003,2052,2052_F,F,3,293
2052_F_004,2052_F 004,2052,2052_F,F,4,193
2052_F_005,2052_F 005,2052,2052_F,F,5,359
2052_F_006,2052_F 006,2052,2052_F,F,6,98
2495_A_001,2495_A,2495,2495_A,A,1,37
2495_B_001,2495_B,2495,2495_B,B,1,15
2495_C_001,2495_C,2495,2495_C,C,1,53
2495_C_002,2495_C 002,2495,2495_C,C,2,34
2495_C_003,2495_C 003,2495,2495_C,C,3,41
2495_F_001,2495_F,2495,2495_F,F,1,23
2497_D_001,2497_D,2497,2497_D,D,1,347
2497_D_002,2497_D 002,2497,2497_D,D,2,185
2497_D_003,2497_D 003,2497,2497_D,D,3,291
2497_D_004,2497_D 004,2497,2497_D,D,4,301
2497_D_005,2497_D 005,2497,2497_D,D,5,148
2497_E_001,2497_E,2497,2497_E,E,1,118
2497_E_002,2497_E 002,2497,2497_E,E,2,126
2497_E_003,2497_E 003,2497,2497_E,E,3,142
2497_E_004,2497_E 004,2497,2497_E,E,4,101
2497_F_001,2497_F,2497,2497_F,F,1,183
2497_F_002,2497_F 002,2497,2497_F,F,2,143
2497_F_003,2497_F 003,2497,2497_F,F,3,164
2497_F_004,2497_F 004,2497,2497_F,F,4,178
2509_A_001,2509_A,2509,2509_A,A,1,140
2509_A_002,2509_A 002,2509,2509_A,A,2,203
2509_A_003,2509_A 003,2509,2509_A,A,3,64
2509_C_001,2509_C,2509,2509_C,C,1,87
2509_C_002,2509_C 002,2509,2509_C,C,2,51
2509_C_003,2509_C 003,2509,2509_C,C,3,118
2509_C_004,2509_C 004,2509,2509_C,C,4,50
2509_C_005,2509_C 005,2509,2509_C,C,5,95
2509_C_006,2509_C 006,2509,2509_C,C,6,86
2509_C_007,2509_C 007,2509,2509_C,C,7,59
2509_D_001,2509_D,2509,2509_D,D,1,107
2509_D_002,2509_D 002,2509,2509_D,D,2,112
2509_D_003,2509_D 003,2509,2509_D,D,3,85
2509_D_004,2509_D 004,2509,2509_D,D,4,73
2509_D_005,2509_D 005,2509,2509_D,D,5,58
2509_D_006,2509_D 006,2509,2509_D,D,6,64
2509_D_007,2509_D 007,2509,2509_D,D,7,78
2509_E_001,2509_E,2509,2509_E,E,1,50
2509_E_002,2509_E 002,2509,2509_E,E,2,87
2509_E_003,2509_E 003,2509,2509_E,E,3,111
2509_E_004,2509_E 004,2509,2509_E,E,4,111
2509_E_005,2509_E 005,2509,2509_E,E,5,86
2509_F_001,2509_F,2509,2509_F,F,1,54
2509_F_002,2509_F 002,2509,2509_F,F,2,93
2509_F_003,2509_F 003,2509,2509_F,F,3,154
2509_F_004,2509_F 004,2509,2509_F,F,4,101
2509_F_005,2509_F 005,2509,2509_F,F,5,105
2509_F_006,2509_F 006,2509,2509_F,F,6,67
2509_F_007,2509_F 007,2509,2509_F,F,7,114
2534_A_001,2534_A,2534,2534_A,A,1,73
2534_A_002,2534_A 002,2534,2534_A,A,2,42
2534_A_003,2534_A 003,2534,2534_A,A,3,23
2534_A_004,2534_A 004,2534,2534_A,A,4,35
2534_A_005,2534_A 005,2534,2534_A,A,5,86
2534_A_006,2534_A 006,2534,2534_A,A,6,105
2534_A_007,2534_A 007,2534,2534_A,A,7,135
2534_A_008,2534_A 008,2534,2534_A,A,8,170
2534_A_009,2534_A 009,2534,2534_A,A,9,98
2534_A_010,2534_A 010,2534,2534_A,A,10,108
2534_B_001,2534_B,2534,2534_B,B,1,44
2534_C_001,2534_C,2534,2534_C,C,1,102
2534_C_002,2534_C 002,2534,2534_C,C,2,155
2534_C_003,2534_C 003,2534,2534_C,C,3,83
2534_C_004,2534_C 004,2534,2534_C,C,4,164
2534_C_005,2534_C 005,2534,2534_C,C,5,102
2534_C_006,2534_C 006,2534,2534_C,C,6,30
2534_C_007,2534_C 007,2534,2534_C,C,7,24
2534_C_008,2534_C 008,2534,2534_C,C,8,107
2534_D_001,2534_D,2534,2534_D,D,1,313
2534_D_002,2534_D 002,2534,2534_D,D,2,317
2534_D_003,2534_D 003,2534,2534_D,D,3,269
2534_D_004,2534_D 004,2534,2534_D,D,4,315
2534_D_005,2534_D 005,2534,2534_D,D,5,81
2534_D_006,2534_D 006,2534,2534_D,D,6,158
2534_D_007,2534_D 007,2534,2534_D,D,7,161
2534_D_008,2534_D 008,2534,2534_D,D,8,71
2534_E_001,2534_E,2534,2534_E,E,1,107
2534_E_002,2534_E 002,2534,2534_E,E,2,145
2534_E_003,2534_E 003,2534,2534_E,E,3,190
2534_E_004,2534_E 004,2534,2534_E,E,4,138
2534_F_001,2534_F,2534,2534_F,F,1,209
2534_F_002,2534_F 002,2534,2534_F,F,2,90
2534_F_003,2534_F 003,2534,2534_F,F,3,254
2534_F_004,2534_F 004,2534,2534_F,F,4,119
2534_F_005,2534_F 005,2534,2534_F,F,5,222
2534_F_006,2534_F 006,2534,2534_F,F,6,91
2534_F_007,2534_F 007,2534,2534_F,F,7,100
2613_B_001,2613_B,2613,2613_B,B,1,23
2613_B_002,2613_B 002,2613,2613_B,B,2,20
2613_B_003,2613_B 003,2613,2613_B,B,3,15
2613_B_004,2613_B 004,2613,2613_B,B,4,38
2613_B_005,2613_B 005,2613,2613_B,B,5,25
2613_B_006,2613_B 006,2613,2613_B,B,6,10
2613_C_001,2613_C,2613,2613_C,C,1,55
2613_C_002,2613_C 002,2613,2613_C,C,2,28
2613_C_003,2613_C 003,2613,2613_C,C,3,72
2613_C_004,2613_C 004,2613,2613_C,C,4,72
2613_C_005,2613_C 005,2613,2613_C,C,5,41
2613_C_006,2613_C 006,2613,2613_C,C,6,53
2613_C_007,2613_C 007,2613,2613_C,C,7,46
2613_D_001,2613_D,2613,2613_D,D,1,49
2613_D_002,2613_D 002,2613,2613_D,D,2,55
2613_D_003,2613_D 003,2613,2613_D,D,3,43
2613_D_004,2613_D 004,2613,2613_D,D,4,125
2613_D_005,2613_D 005,2613,2613_D,D,5,250
2613_F_001,2613_F,2613,2613_F,F,1,66
2613_F_002,2613_F 002,2613,2613_F,F,2,75
2613_F_003,2613_F 003,2613,2613_F,F,3,64
2732_D_001,2732_D,2732,2732_D,D,1,63
2732_D_002,2732_D 002,2732,2732_D,D,2,97
2732_D_003,2732_D 003,2732,2732_D,D,3,73
2732_D_005,2732_D 005,2732,2732_D,D,5,99
2732_D_006,2732_D 006,2732,2732_D,D,6,155
2732_D_007,2732_D 007,2732,2732_D,D,7,104
2732_E_001,2732_E,2732,2732_E,E,1,42
2732_E_002,2732_E 002,2732,2732_E,E,2,25
2732_E_003,2732_E 003,2732,2732_E,E,3,96
2732_E_004,2732_E 004,2732,2732_E,E,4,30
2732_F_001,2732_F,2732,2732_F,F,1,53
2732_F_002,2732_F 002,2732,2732_F,F,2,55
2732_F_003,2732_F 003,2732,2732_F,F,3,84
2732_F_004,2732_F 004,2732,2732_F,F,4,133
2732_F_005,2732_F 005,2732,2732_F,F,5,58
2732_F_006,2732_F 006,2732,2732_F,F,6,35
2845_A_001,2845_A,2845,2845_A,A,1,48
2845_A_002,2845_A 002,2845,2845_A,A,2,37
2845_A_003,2845_A 003,2845,2845_A,A,3,56
2845_A_004,2845_A 004,2845,2845_A,A,4,43
2845_A_005,2845_A 005,2845,2845_A,A,5,44
2845_A_006,2845_A 006,2845,2845_A,A,6,50
2845_A_007,2845_A 007,2845,2845_A,A,7,67
2845_A_008,2845_A 008,2845,2845_A,A,8,62
2845_A_009,2845_A 009,2845,2845_A,A,9,24
2845_A_010,2845_A1,2845,2845_A,A,10,60
2845_A_011,2845_A2,2845,2845_A,A,11,39
2845_A_012,2845_A3,2845,2845_A,A,12,23
2845_B_001,2845_B,2845,2845_B,B,1,43
2845_B_002,2845_B 002,2845,2845_B,B,2,18
2845_B_003,2845_B1,2845,2845_B,B,3,21
2845_B_004,2845_B2,2845,2845_B,B,4,14
2845_B_005,2845_B3,2845,2845_B,B,5,29
2845_C_001,2845_C,2845,2845_C,C,1,25
2845_C_002,2845_C 002,2845,2845_C,C,2,50
2845_C_003,2845_C 003,2845,2845_C,C,3,50
2845_C_004,2845_C 004,2845,2845_C,C,4,69
2845_C_005,2845_C 005,2845,2845_C,C,5,69
2845_C_006,2845_C 006,2845,2845_C,C,6,42
2845_C_007,2845_C 007,2845,2845_C,C,7,53
2845_D_001,2845_D,2845,2845_D,D,1,35
2845_D_002,2845_D 002,2845,2845_D,D,2,34
2845_D_003,2845_D 003,2845,2845_D,D,3,111
2845_D_004,2845_D 004,2845,2845_D,D,4,77
2845_D_005,2845_D 005,2845,2845_D,D,5,46
2845_D_006,2845_D 006,2845,2845_D,D,6,55
2845_D_007,2845_D 007,2845,2845_D,D,7,53
2845_D_008,2845_D 008,2845,2845_D,D,8,142
2845_D_009,2845_D 009,2845,2845_D,D,9,129
2845_E_001,2845_E,2845,2845_E,E,1,48
2845_E_002,2845_E 002,2845,2845_E,E,2,34
2845_E_003,2845_E 003,2845,2845_E,E,3,52
2845_E_004,2845_E 004,2845,2845_E,E,4,49
2845_E_005,2845_E 005,2845,2845_E,E,5,39
2845_E_006,2845_E 006,2845,2845_E,E,6,42
2845_E_007,2845_E 007,2845,2845_E,E,7,58
2845_E_008,2845_E 008,2845,2845_E,E,8,52
2845_F_001,2845_F,2845,2845_F,F,1,37
2845_F_002,2845_F 002,2845,2845_F,F,2,59
2845_F_003,2845_F 003,2845,2845_F,F,3,51
2845_F_004,2845_F 004,2845,2845_F,F,4,42
2845_F_005,2845_F 005,2845,2845_F,F,5,54
2845_F_006,2845_F 006,2845,2845_F,F,6,48
2845_F_007,2845_F 007,2845,2845_F,F,7,54
2845_F_008,2845_F 008,2845,2845_F,F,8,73
2845_F_009,2845_F 009,2845,2845_F,F,9,33
2845_F_010,2845_F 010,2845,2845_F,F,10,39
