method,celltype,n_comparable,n_method_nonzero,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline,comparison_status
SpatialDecon,ExNeuron1,177,118,0.6666666666666666,0.8163299708670552,0.5646126846400723,0.29867729184039254,0.30775414706728643,0.010083416157368422,evaluable
SpatialDecon,Oligodendrocytes2,177,159,0.8983050847457628,0.6763409907834083,0.6338750084182412,0.29343276192976664,0.36811010448070863,0.07044682996021052,evaluable
SpatialDecon,Endothelial,177,144,0.8135593220338984,0.6532453604565744,0.7117357603238319,0.11858684763558586,0.13625603325619093,0.018165526851578948,evaluable
SpatialDecon,Astrocytes2,177,131,0.7401129943502824,0.6453416457039581,0.45343141111434887,0.05583966702285688,0.07120585613116155,0.019147274020157895,evaluable
SpatialDecon,Microglia5,177,85,0.480225988700565,0.5578381519716505,0.46697383887016086,0.03152863400192098,0.03257240585514508,0.03575737367263158,evaluable
SpatialDecon,Microglia2,177,111,0.6271186440677966,0.3198993980227602,0.3122590105528046,0.024871881522116827,0.027576933364024656,0.007618780371842105,evaluable
SpatialDecon,SMC,177,28,0.15819209039548024,0.31768788100346607,0.21312867052653925,0.01626040390298602,0.011009046177909133,0.008623280286,evaluable
SpatialDecon,Microglia3,177,23,0.12994350282485875,0.31578704253831225,0.337313633950425,0.011056441827567159,0.007334160901279158,0.006153166662947369,evaluable
SpatialDecon,Pericytes,177,15,0.0847457627118644,0.2990171624620273,0.1936679293125312,0.012745586100857043,0.0024162888458470386,0.01194680951668421,method_rare
SpatialDecon,Oligodendrocytes6,177,9,0.05084745762711865,0.2564413865032878,0.05068587732735781,0.01645514385944908,0.005946857008555451,0.011851812384947369,method_rare
SpatialDecon,Fibroblast,177,6,0.03389830508474576,0.25387022052113595,0.24745974613007432,0.46976375044355667,0.0034276809688727067,0.4939826890526316,method_rare
SpatialDecon,VLMC1,177,5,0.02824858757062147,0.22470883497279276,0.01678490947969305,0.013940089044755886,0.006203904362093907,0.008453336489157895,method_rare
SpatialDecon,Astrocytes4,177,9,0.05084745762711865,0.2122681276428496,0.14418281156176566,0.010237838171345586,0.0037282022404277744,0.0072635210404736845,method_rare
SpatialDecon,OPC3,177,1,0.005649717514124294,0.12097114921857637,0.17494300336132637,0.004874838966512502,1.8561906199362373e-5,0.0048233191119473684,method_rare
SpatialDecon,Astrocytes5,177,4,0.022598870056497175,0.06482753921919117,-0.01909289350818737,0.01878373041924164,0.006935847015250461,0.011549509694473685,method_rare
SpatialDecon,ExNeuron9,177,2,0.011299435028248588,0.01625334234291015,0.006228356256647285,0.00787258999409602,0.002176281938050823,0.005652242302210527,method_rare
SpatialDecon,ExNeuron2,177,1,0.005649717514124294,0.007376289586498559,-0.010685145712571993,0.006919741653781486,0.0032448346909566272,0.003783825851157895,method_rare
SpatialDecon,ExNeuron6,177,1,0.005649717514124294,0.007376289586498559,-0.02424187610405579,0.014595355418598842,0.0013438123226101413,0.012696711605736842,method_rare
SpatialDecon,InhNeuron4,177,1,0.005649717514124294,-0.011802063338397693,-0.025733690453064614,0.00616141982339752,0.0017990519626065594,0.004364633660842106,method_rare
SpatialDecon,Astrocytes1,177,1,0.005649717514124294,-0.04720825335359077,-0.0436952887912037,0.01160040687971365,6.058308605611073e-4,0.010503152424684211,method_rare
SpatialDecon,InhNeuron3,177,1,0.005649717514124294,-0.059010316691988474,-0.03971698812344759,0.0042689746031890395,3.341586442624859e-4,0.003956864110157895,method_rare
SpatialDecon,Astrocytes3,177,0,0,NA,NA,0.006426679930282486,0,0.0061818887582105264,method_all_zero
SpatialDecon,ExNeuron10,177,0,0,NA,NA,0.003943448304689266,0,0.003981078582789474,method_all_zero
SpatialDecon,ExNeuron11,177,0,0,NA,NA,0.005276908221468927,0,0.005259023207894737,method_all_zero
SpatialDecon,ExNeuron12,177,0,0,NA,NA,0.005035754941638418,0,0.004955647944578948,method_all_zero
SpatialDecon,ExNeuron13,177,0,0,NA,NA,0.0048449659318644065,0,0.004782774680736842,method_all_zero
SpatialDecon,ExNeuron14,177,0,0,NA,NA,0.005803627785875706,0,0.005652648831578948,method_all_zero
SpatialDecon,ExNeuron3,177,0,0,NA,NA,0.03907110406225989,0,0.03663364156010526,method_all_zero
SpatialDecon,ExNeuron4,177,0,0,NA,NA,0.02691237821259887,0,0.025306797964894736,method_all_zero
SpatialDecon,ExNeuron5,177,0,0,NA,NA,0.004051086203672317,0,0.0040968701860526315,method_all_zero
SpatialDecon,ExNeuron7,177,0,0,NA,NA,0.0062021830749152546,0,0.006024767298210526,method_all_zero
SpatialDecon,ExNeuron8,177,0,0,NA,NA,0.004314233704632769,0,0.004278947388526316,method_all_zero
SpatialDecon,InhNeuron1,177,0,0,NA,NA,0.004372769606045198,0,0.004353097350368421,method_all_zero
SpatialDecon,InhNeuron2,177,0,0,NA,NA,0.005091925411468926,0,0.005002049062789474,method_all_zero
SpatialDecon,InhNeuron5,177,0,0,NA,NA,0.004403504647118644,0,0.004377099598105263,method_all_zero
SpatialDecon,Microglia1,177,0,0,NA,NA,0.00799924628158192,0,0.00793070067336842,method_all_zero
SpatialDecon,Microglia4,177,0,0,NA,NA,0.008819670656836158,0,0.008435582591894737,method_all_zero
SpatialDecon,OPC1,177,0,0,NA,NA,0.005477460499378531,0,0.005342981066789473,method_all_zero
SpatialDecon,OPC2,177,0,0,NA,NA,0.004927683362372881,0,0.004796832470210526,method_all_zero
SpatialDecon,Oligodendrocytes1,177,0,0,NA,NA,0.01935411189214689,0,0.01819182572163158,method_all_zero
SpatialDecon,Oligodendrocytes3,177,0,0,NA,NA,0.006845367533163842,0,0.006659793108789474,method_all_zero
SpatialDecon,Oligodendrocytes4,177,0,0,NA,NA,0.0072010393749152544,0,0.006943646960842105,method_all_zero
SpatialDecon,Oligodendrocytes5,177,0,0,NA,NA,0.01280987463299435,0,0.012351145075473684,method_all_zero
SpatialDecon,Oligodendrocytes7,177,0,0,NA,NA,0.019720179509265537,0,0.018540962338105264,method_all_zero
SpatialDecon,Oligodendrocytes8,177,0,0,NA,NA,0.015155739518079097,0,0.014497951791578947,method_all_zero
SpatialDecon,VLMC2,177,0,0,NA,NA,0.008922935224293785,0,0.008598161296842105,method_all_zero
